Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobRole,MaritalStatus,MonthlyIncome,YearsAtCompany,prediction
35,Travel_Frequently,Research & Development,1,3,Male,Research Scientist,Married,2194,3,0
36,Travel_Rarely,Research & Development,9,3,Male,Research Scientist,Married,3388,1,1
59,Travel_Frequently,Sales,1,1,Female,Sales Executive,Single,5473,4,0
29,Travel_Rarely,Research & Development,2,3,Male,Research Scientist,Married,2703,5,0
31,Travel_Rarely,Research & Development,1,4,Male,Research Scientist,Single,2501,1,0
32,Travel_Rarely,Research & Development,1,3,Male,Research Scientist,Married,6220,10,0
36,Travel_Rarely,Research & Development,6,3,Female,Laboratory Technician,Married,3038,1,0
31,Travel_Rarely,Research & Development,8,4,Female,Manufacturing Director,Single,4424,11,0
35,Travel_Rarely,Sales,1,4,Male,Sales Executive,Single,4312,15,0
45,Travel_Rarely,Research & Development,6,4,Male,Research Director,Married,13245,0,0
37,Travel_Rarely,Research & Development,7,4,Male,Research Director,Single,13664,5,0
46,Travel_Rarely,Human Resources,5,2,Male,Human Resources,Divorced,5021,4,0
30,Travel_Rarely,Research & Development,1,1,Male,Laboratory Technician,Married,5126,10,0
35,Travel_Rarely,Research & Development,1,3,Male,Research Scientist,Single,2859,6,0
55,Travel_Rarely,Sales,1,2,Male,Sales Executive,Married,10239,1,0
38,Non-Travel,Research & Development,6,3,Female,Research Scientist,Divorced,5329,13,0
34,Travel_Rarely,Research & Development,1,2,Male,Manufacturing Director,Married,4325,5,0
56,Travel_Rarely,Research & Development,7,3,Male,Manufacturing Director,Single,7260,6,0
23,Travel_Rarely,Sales,2,1,Male,Sales Representative,Divorced,2322,0,0
51,Travel_Rarely,Research & Development,9,4,Male,Laboratory Technician,Married,2075,4,0
30,Travel_Rarely,Research & Development,2,3,Male,Healthcare Representative,Married,4152,11,0
46,Travel_Rarely,Sales,9,2,Male,Sales Executive,Single,9619,9,1
40,Travel_Frequently,Research & Development,1,4,Male,Healthcare Representative,Married,13503,22,0
51,Travel_Rarely,Sales,21,4,Male,Sales Executive,Single,5441,10,0
30,Travel_Rarely,Sales,4,2,Female,Sales Executive,Divorced,5209,11,0
46,Travel_Frequently,Research & Development,1,3,Male,Healthcare Representative,Married,10673,10,0
32,Travel_Rarely,Sales,6,4,Male,Sales Executive,Single,5010,11,0
54,Travel_Rarely,Research & Development,2,4,Female,Research Director,Married,13549,4,0
24,Travel_Rarely,Sales,3,2,Female,Sales Executive,Married,4999,3,0
28,Non-Travel,Sales,4,3,Male,Sales Executive,Married,4221,5,0
58,Travel_Rarely,Sales,10,4,Male,Sales Executive,Single,13872,37,0
44,Non-Travel,Research & Development,23,3,Male,Laboratory Technician,Married,2042,3,0
37,Travel_Rarely,Human Resources,6,4,Male,Human Resources,Divorced,2073,3,1
32,Travel_Rarely,Research & Development,1,1,Male,Research Scientist,Single,2956,1,0
20,Travel_Frequently,Research & Development,6,3,Female,Laboratory Technician,Single,2926,1,1
34,Travel_Rarely,Research & Development,6,4,Female,Research Scientist,Single,4809,16,0
37,Non-Travel,Research & Development,2,2,Male,Healthcare Representative,Divorced,5163,1,0
59,Non-Travel,Human Resources,2,4,Female,Manager,Married,18844,3,0
50,Travel_Frequently,Research & Development,1,3,Female,Research Director,Married,18172,8,0
25,Travel_Rarely,Sales,5,3,Male,Sales Executive,Single,5744,6,1
25,Travel_Rarely,Research & Development,7,1,Male,Research Scientist,Married,2889,2,0
22,Travel_Rarely,Research & Development,15,3,Female,Laboratory Technician,Single,2871,0,0
51,Travel_Frequently,Research & Development,1,4,Female,Healthcare Representative,Single,7484,13,0
34,Travel_Frequently,Research & Development,7,3,Male,Laboratory Technician,Single,6074,9,1
54,Non-Travel,Human Resources,26,3,Female,Manager,Single,17328,5,0
24,Travel_Rarely,Research & Development,18,1,Male,Laboratory Technician,Married,2774,5,0
34,Travel_Rarely,Research & Development,6,4,Female,Research Scientist,Divorced,4505,1,0
37,Travel_Rarely,Sales,3,3,Male,Sales Executive,Single,7428,5,0
34,Travel_Rarely,Research & Development,5,3,Female,Manager,Single,11631,11,0
36,Travel_Frequently,Sales,11,2,Female,Sales Executive,Married,9738,9,0
36,Travel_Rarely,Research & Development,3,2,Female,Laboratory Technician,Divorced,2835,1,0
43,Travel_Frequently,Sales,26,2,Male,Manager,Married,16959,25,0
30,Travel_Frequently,Research & Development,23,3,Male,Research Scientist,Divorced,2613,10,0
33,Non-Travel,Sales,22,2,Male,Sales Executive,Married,6146,7,0
56,Travel_Rarely,Research & Development,14,4,Female,Research Scientist,Married,4963,5,1
51,Travel_Rarely,Research & Development,6,3,Male,Research Director,Single,19537,20,0
31,Travel_Rarely,Sales,6,4,Male,Sales Executive,Married,6172,7,1
26,Travel_Rarely,Research & Development,6,3,Female,Research Scientist,Married,2368,5,0
58,Travel_Rarely,Research & Development,23,4,Female,Healthcare Representative,Married,10312,40,1
19,Travel_Rarely,Sales,22,1,Male,Sales Representative,Single,1675,0,1
22,Travel_Rarely,Research & Development,2,1,Male,Laboratory Technician,Married,2523,2,0
49,Travel_Rarely,Research & Development,20,4,Female,Manufacturing Director,Married,6567,15,0
43,Travel_Frequently,Research & Development,28,3,Female,Research Scientist,Single,4739,3,0
50,Travel_Frequently,Sales,12,3,Female,Sales Executive,Single,9208,2,0
31,Travel_Rarely,Sales,20,3,Female,Sales Executive,Married,4559,2,1
41,Travel_Rarely,Sales,9,1,Male,Sales Executive,Divorced,8189,9,0
26,Travel_Rarely,Human Resources,25,1,Female,Human Resources,Married,2942,8,0
36,Travel_Rarely,Research & Development,6,2,Male,Manufacturing Director,Divorced,4941,3,0
51,Travel_Frequently,Research & Development,8,4,Male,Manufacturing Director,Single,10650,4,1
39,Travel_Rarely,Sales,4,4,Female,Sales Executive,Married,5902,15,0
25,Travel_Rarely,Sales,28,3,Male,Sales Executive,Married,8639,2,0
30,Travel_Rarely,Human Resources,9,3,Male,Human Resources,Married,6347,11,0
32,Travel_Rarely,Research & Development,9,3,Female,Laboratory Technician,Single,4200,5,1
45,Travel_Rarely,Research & Development,29,3,Male,Research Scientist,Single,3452,6,0
38,Travel_Rarely,Research & Development,3,5,Female,Research Scientist,Single,4317,3,0
30,Travel_Rarely,Research & Development,18,3,Female,Research Scientist,Single,2632,5,0
32,Travel_Frequently,Sales,9,2,Male,Sales Executive,Divorced,4668,8,0
30,Travel_Rarely,Research & Development,5,3,Female,Research Scientist,Divorced,3204,3,0
30,Travel_Rarely,Research & Development,2,1,Male,Laboratory Technician,Single,2720,5,0
41,Travel_Frequently,Research & Development,10,3,Male,Manager,Divorced,17181,7,0
41,Travel_Rarely,Research & Development,9,4,Male,Laboratory Technician,Married,2238,5,0
19,Travel_Rarely,Research & Development,3,1,Female,Laboratory Technician,Single,1483,1,0
40,Travel_Frequently,Research & Development,26,3,Female,Research Scientist,Divorced,5605,20,0
35,Travel_Rarely,Sales,1,5,Male,Sales Executive,Married,7295,10,0
53,Travel_Rarely,Sales,6,2,Male,Sales Representative,Married,2306,7,0
45,Travel_Rarely,Research & Development,9,3,Male,Laboratory Technician,Divorced,2348,17,0
32,Travel_Frequently,Sales,8,3,Female,Sales Executive,Single,8998,9,0
29,Non-Travel,Research & Development,1,1,Male,Manufacturing Director,Married,4319,10,0
51,Travel_Rarely,Research & Development,7,4,Male,Manufacturing Director,Married,6132,1,0
58,Travel_Rarely,Research & Development,9,3,Female,Research Scientist,Married,3346,1,0
40,Travel_Rarely,Sales,4,4,Male,Sales Executive,Married,10855,12,0
34,Travel_Frequently,Sales,2,4,Female,Sales Representative,Married,2231,4,0
22,Travel_Rarely,Research & Development,19,1,Male,Research Scientist,Married,2323,2,0
27,Non-Travel,Research & Development,9,3,Male,Research Scientist,Divorced,2024,2,0
28,Travel_Rarely,Research & Development,21,3,Male,Research Scientist,Married,2713,5,0
57,Travel_Rarely,Research & Development,24,2,Male,Healthcare Representative,Divorced,9439,5,0
27,Non-Travel,Research & Development,3,3,Male,Research Scientist,Divorced,2566,1,0
50,Travel_Rarely,Research & Development,11,3,Female,Manager,Single,19926,5,0
41,Travel_Rarely,Research & Development,14,3,Male,Research Scientist,Divorced,2451,9,0
30,Travel_Rarely,Sales,5,3,Female,Sales Executive,Married,9419,10,0
38,Travel_Rarely,Sales,1,4,Female,Sales Executive,Single,8686,8,0
32,Travel_Rarely,Research & Development,6,5,Male,Research Scientist,Single,3038,5,0
27,Travel_Rarely,Research & Development,17,3,Male,Research Scientist,Married,3058,5,0
19,Travel_Frequently,Sales,1,1,Female,Sales Representative,Single,2325,0,1
36,Travel_Frequently,Research & Development,3,2,Male,Laboratory Technician,Single,2088,8,0
30,Non-Travel,Research & Development,9,3,Male,Laboratory Technician,Divorced,3072,12,0
45,Travel_Rarely,Sales,4,2,Female,Sales Executive,Divorced,5006,5,0
56,Travel_Rarely,Research & Development,8,3,Female,Research Scientist,Divorced,4257,2,0
33,Travel_Rarely,Research & Development,2,3,Male,Research Scientist,Single,2500,3,0
19,Travel_Rarely,Research & Development,2,3,Male,Laboratory Technician,Single,1102,1,1
46,Travel_Rarely,Sales,1,2,Female,Sales Executive,Divorced,10453,24,0
38,Travel_Rarely,Research & Development,9,2,Female,Laboratory Technician,Single,2288,2,0
31,Travel_Rarely,Research & Development,12,1,Female,Research Scientist,Married,3929,4,0
34,Travel_Rarely,Research & Development,27,2,Female,Research Scientist,Single,2311,3,0
41,Travel_Rarely,Sales,20,2,Female,Sales Representative,Single,3140,4,1
50,Travel_Rarely,Research & Development,1,3,Male,Laboratory Technician,Married,3690,3,0
53,Travel_Rarely,Research & Development,13,2,Female,Manufacturing Director,Divorced,4450,4,0
33,Travel_Rarely,Research & Development,14,3,Female,Research Scientist,Married,2756,8,0
40,Travel_Rarely,Research & Development,4,1,Female,Manager,Married,19033,20,0
55,Travel_Rarely,Research & Development,14,4,Male,Research Director,Single,18722,24,0
34,Travel_Frequently,Research & Development,2,1,Male,Manufacturing Director,Married,9547,10,0
51,Travel_Rarely,Research & Development,3,3,Female,Healthcare Representative,Single,13734,7,0
52,Travel_Rarely,Research & Development,1,4,Male,Manager,Married,19999,33,0
27,Travel_Rarely,Research & Development,9,3,Female,Research Scientist,Single,2279,7,0
35,Travel_Rarely,Research & Development,23,2,Male,Manufacturing Director,Married,5916,1,1
43,Non-Travel,Research & Development,7,3,Male,Research Scientist,Divorced,2089,5,0
45,Non-Travel,Research & Development,2,2,Male,Manager,Married,16792,20,0
37,Travel_Rarely,Research & Development,21,3,Male,Research Scientist,Married,3564,8,0
35,Travel_Frequently,Research & Development,2,3,Female,Laboratory Technician,Single,4425,6,0
42,Non-Travel,Research & Development,21,2,Female,Manufacturing Director,Divorced,5265,5,0
38,Travel_Rarely,Research & Development,2,4,Male,Manufacturing Director,Married,6553,1,0
38,Travel_Rarely,Research & Development,29,3,Male,Manufacturing Director,Married,6261,7,0
27,Travel_Frequently,Research & Development,1,1,Male,Manufacturing Director,Married,4298,2,0
49,Non-Travel,Research & Development,18,4,Male,Manufacturing Director,Divorced,6804,7,0
34,Travel_Frequently,Research & Development,10,4,Male,Research Scientist,Divorced,3815,5,0
40,Travel_Rarely,Research & Development,19,2,Male,Laboratory Technician,Married,2741,7,0
38,Travel_Rarely,Research & Development,29,1,Male,Healthcare Representative,Married,6673,1,1
29,Travel_Rarely,Sales,27,3,Female,Sales Executive,Married,7639,10,1
22,Travel_Rarely,Research & Development,5,3,Male,Research Scientist,Divorced,2328,4,0
36,Travel_Frequently,Research & Development,18,1,Female,Laboratory Technician,Single,2153,8,0
40,Non-Travel,Research & Development,9,5,Male,Healthcare Representative,Married,4876,3,0
46,Travel_Rarely,Research & Development,1,4,Male,Healthcare Representative,Divorced,9396,4,0
32,Travel_Rarely,Sales,4,4,Male,Sales Executive,Married,10400,14,1
30,Non-Travel,Research & Development,1,1,Male,Manufacturing Director,Single,8474,11,0
27,Travel_Frequently,Sales,20,3,Female,Sales Executive,Single,9981,7,0
51,Travel_Rarely,Research & Development,8,4,Male,Research Director,Married,12490,10,0
30,Travel_Rarely,Research & Development,3,3,Female,Research Scientist,Single,2657,5,1
41,Travel_Rarely,Sales,6,3,Female,Manager,Single,13591,1,0
30,Travel_Frequently,Sales,26,4,Female,Sales Executive,Single,6696,6,1
29,Travel_Rarely,Research & Development,1,3,Male,Research Scientist,Single,2058,6,1
45,Non-Travel,Sales,6,3,Female,Sales Executive,Single,8865,19,0
54,Travel_Rarely,Sales,3,3,Female,Sales Executive,Married,5940,6,0
36,Travel_Rarely,Research & Development,5,2,Male,Laboratory Technician,Single,5914,13,0
33,Travel_Rarely,Research & Development,4,4,Female,Research Scientist,Married,2622,3,0
37,Travel_Frequently,Research & Development,11,3,Male,Research Director,Divorced,12185,10,0
38,Travel_Rarely,Sales,3,3,Male,Sales Executive,Divorced,10609,16,0
31,Non-Travel,Research & Development,1,4,Male,Manufacturing Director,Married,4345,5,0
59,Travel_Rarely,Research & Development,3,3,Male,Research Scientist,Married,2177,1,0
37,Travel_Frequently,Sales,4,4,Male,Sales Representative,Divorced,2793,9,0
29,Travel_Frequently,Sales,1,1,Female,Sales Executive,Married,7918,11,0
35,Travel_Frequently,Sales,1,3,Female,Sales Executive,Single,8789,10,0
29,Travel_Rarely,Research & Development,18,1,Male,Research Scientist,Single,2389,4,1
52,Travel_Rarely,Research & Development,2,3,Female,Laboratory Technician,Single,3212,2,0
42,Travel_Rarely,Research & Development,4,2,Male,Manager,Married,19232,22,0
59,Travel_Rarely,Human Resources,6,2,Male,Human Resources,Married,2267,2,0
50,Travel_Rarely,Sales,1,4,Female,Manager,Divorced,19517,7,0
33,Travel_Rarely,Research & Development,14,3,Male,Laboratory Technician,Married,2436,5,1
43,Travel_Rarely,Sales,16,3,Female,Manager,Married,16064,17,0
33,Travel_Rarely,Research & Development,2,2,Female,Laboratory Technician,Married,2707,9,1
52,Non-Travel,Sales,2,4,Male,Manager,Single,19068,33,0
32,Travel_Rarely,Sales,4,2,Female,Sales Representative,Married,3931,4,0
32,Travel_Rarely,Research & Development,1,3,Male,Laboratory Technician,Single,3730,3,1
39,Travel_Rarely,Research & Development,1,4,Female,Laboratory Technician,Divorced,2232,3,0
32,Non-Travel,Sales,26,4,Male,Sales Executive,Married,4465,3,0
41,Travel_Rarely,Research & Development,19,2,Male,Research Scientist,Divorced,3072,1,0
40,Travel_Rarely,Research & Development,24,2,Male,Research Scientist,Divorced,3319,9,0
45,Travel_Rarely,Research & Development,1,3,Male,Manager,Married,19202,24,0
31,Travel_Frequently,Research & Development,3,4,Male,Research Director,Divorced,13675,2,0
33,Travel_Rarely,Research & Development,5,4,Female,Research Scientist,Married,2911,2,0
34,Travel_Rarely,Research & Development,2,4,Male,Manufacturing Director,Married,5957,11,0
37,Travel_Rarely,Research & Development,1,2,Female,Research Scientist,Married,3920,3,0
45,Travel_Frequently,Research & Development,7,4,Male,Manufacturing Director,Married,6434,3,0
37,Travel_Frequently,Research & Development,10,3,Male,Manufacturing Director,Divorced,10048,1,1
39,Travel_Frequently,Research & Development,2,4,Female,Healthcare Representative,Single,10938,19,0
29,Travel_Rarely,Research & Development,15,3,Male,Research Scientist,Single,2340,6,0
42,Travel_Rarely,Research & Development,17,2,Female,Research Scientist,Single,6545,3,0
29,Travel_Rarely,Sales,20,2,Male,Sales Executive,Divorced,6931,3,0
25,Travel_Rarely,Research & Development,1,3,Female,Manufacturing Director,Married,4898,4,0
42,Travel_Rarely,Research & Development,2,3,Female,Laboratory Technician,Divorced,2593,9,0
40,Travel_Rarely,Research & Development,2,2,Male,Research Director,Divorced,19436,21,0
51,Travel_Rarely,Research & Development,1,3,Male,Research Scientist,Married,2723,1,0
31,Travel_Frequently,Research & Development,29,2,Male,Laboratory Technician,Single,3479,5,1
32,Travel_Frequently,Research & Development,7,3,Male,Laboratory Technician,Married,2794,5,0
38,Non-Travel,Sales,2,2,Male,Sales Executive,Married,5249,8,0
32,Travel_Rarely,Research & Development,2,1,Male,Laboratory Technician,Single,2176,6,0
46,Travel_Rarely,Sales,2,3,Female,Manager,Married,16872,7,0
28,Travel_Rarely,Research & Development,2,4,Male,Laboratory Technician,Single,3485,0,1
29,Travel_Rarely,Sales,2,3,Male,Sales Executive,Married,6644,0,0
31,Travel_Rarely,Research & Development,23,3,Male,Healthcare Representative,Married,5582,9,0
25,Non-Travel,Research & Development,5,2,Male,Healthcare Representative,Divorced,4000,6,0
45,Travel_Rarely,Research & Development,20,2,Male,Healthcare Representative,Married,13496,20,0
36,Travel_Rarely,Research & Development,6,3,Male,Laboratory Technician,Married,3210,15,0
55,Travel_Rarely,Research & Development,1,3,Male,Manager,Single,19045,36,0
47,Non-Travel,Research & Development,29,4,Male,Manager,Married,11849,10,1
28,Travel_Rarely,Research & Development,9,3,Male,Research Scientist,Married,2070,5,0
37,Travel_Rarely,Sales,6,4,Male,Sales Executive,Married,6502,5,0
21,Travel_Rarely,Research & Development,3,2,Male,Research Scientist,Single,3230,3,0
37,Non-Travel,Research & Development,1,4,Female,Research Director,Divorced,13603,5,0
35,Travel_Rarely,Research & Development,22,3,Female,Manager,Divorced,11996,7,0
38,Travel_Rarely,Sales,7,2,Female,Sales Executive,Divorced,5605,8,0
26,Travel_Frequently,Research & Development,1,3,Female,Manufacturing Director,Divorced,6397,6,0
50,Travel_Rarely,Research & Development,4,1,Male,Research Director,Divorced,19144,10,0
53,Travel_Rarely,Research & Development,3,4,Male,Research Director,Married,17584,5,0
42,Travel_Rarely,Sales,1,1,Male,Sales Executive,Married,4907,20,0
29,Travel_Frequently,Sales,2,2,Male,Sales Executive,Single,4554,10,0
55,Travel_Rarely,Research & Development,20,2,Male,Laboratory Technician,Married,5415,10,0
26,Travel_Frequently,Research & Development,11,2,Male,Healthcare Representative,Married,4741,5,0
37,Travel_Rarely,Research & Development,1,3,Female,Research Scientist,Single,2115,17,0
44,Travel_Frequently,Research & Development,24,3,Male,Laboratory Technician,Divorced,3161,1,1
38,Travel_Rarely,Research & Development,23,4,Male,Healthcare Representative,Divorced,5745,2,0
26,Travel_Rarely,Research & Development,16,4,Male,Laboratory Technician,Divorced,2373,3,1
28,Travel_Rarely,Research & Development,8,2,Female,Research Scientist,Single,3310,5,0
49,Travel_Frequently,Research & Development,10,4,Female,Research Director,Single,18665,3,0
36,Travel_Rarely,Research & Development,3,3,Male,Research Scientist,Single,4485,8,0
31,Travel_Frequently,Sales,5,3,Female,Sales Representative,Divorced,2789,2,0
26,Travel_Rarely,Sales,4,4,Male,Sales Executive,Single,5828,8,1
37,Travel_Frequently,Research & Development,9,3,Male,Research Scientist,Married,2326,4,0
42,Travel_Frequently,Sales,26,3,Female,Sales Executive,Married,13525,20,0
18,Travel_Rarely,Research & Development,3,3,Male,Laboratory Technician,Single,1420,0,1
35,Travel_Rarely,Sales,16,3,Male,Sales Executive,Married,8020,11,0
36,Travel_Frequently,Research & Development,18,4,Male,Laboratory Technician,Married,3688,1,0
51,Travel_Rarely,Research & Development,2,3,Male,Manufacturing Director,Divorced,5482,4,0
41,Travel_Rarely,Sales,2,4,Male,Manager,Single,16015,22,0
18,Travel_Rarely,Sales,10,3,Female,Sales Representative,Single,1200,0,0
28,Travel_Rarely,Research & Development,16,2,Male,Healthcare Representative,Single,5661,8,0
31,Travel_Rarely,Sales,7,3,Male,Sales Executive,Married,6929,8,0
39,Travel_Rarely,Research & Development,1,3,Male,Healthcare Representative,Divorced,9613,18,0
36,Non-Travel,Research & Development,24,4,Female,Laboratory Technician,Married,5674,9,0
32,Travel_Rarely,Sales,7,3,Male,Sales Executive,Married,5484,13,0
38,Travel_Rarely,Research & Development,25,2,Female,Research Director,Married,12061,10,0
58,Non-Travel,Research & Development,1,4,Male,Healthcare Representative,Divorced,5660,5,0
31,Travel_Rarely,Research & Development,5,4,Male,Research Scientist,Married,4821,5,0
31,Travel_Rarely,Human Resources,2,3,Male,Human Resources,Married,6410,2,0
45,Travel_Frequently,Research & Development,7,3,Male,Laboratory Technician,Divorced,5210,24,0
31,Travel_Rarely,Research & Development,2,4,Male,Research Scientist,Divorced,2695,2,0
33,Travel_Frequently,Research & Development,5,4,Female,Manager,Married,11878,10,0
39,Travel_Rarely,Research & Development,10,1,Male,Manager,Married,17068,21,0
43,Travel_Frequently,Research & Development,10,4,Female,Laboratory Technician,Single,2455,8,0
49,Travel_Rarely,Research & Development,1,2,Female,Healthcare Representative,Single,13964,7,0
52,Travel_Rarely,Research & Development,8,4,Male,Research Scientist,Married,4941,8,1
27,Travel_Rarely,Research & Development,5,3,Female,Research Scientist,Single,2478,4,0
32,Travel_Rarely,Sales,8,2,Female,Sales Executive,Married,5228,13,0
27,Travel_Rarely,Sales,2,3,Male,Sales Executive,Single,4478,5,0
31,Travel_Rarely,Sales,7,3,Male,Sales Executive,Divorced,7547,7,0
32,Travel_Rarely,Research & Development,2,4,Female,Research Scientist,Single,5055,7,0
28,Travel_Rarely,Research & Development,2,4,Male,Research Scientist,Married,3464,3,1
30,Travel_Rarely,Research & Development,28,2,Female,Research Scientist,Married,5775,10,0
31,Travel_Frequently,Research & Development,7,2,Female,Manufacturing Director,Married,8943,10,0
39,Travel_Frequently,Research & Development,7,2,Male,Manager,Married,19272,21,0
39,Travel_Rarely,Sales,3,2,Female,Sales Executive,Married,5238,1,1
33,Travel_Frequently,Sales,10,3,Male,Sales Executive,Single,4682,7,0
47,Travel_Rarely,Research & Development,5,5,Male,Research Director,Married,18300,3,0
43,Travel_Frequently,Research & Development,10,4,Female,Laboratory Technician,Divorced,5257,9,0
27,Non-Travel,Sales,1,1,Male,Sales Executive,Married,6349,5,0
54,Travel_Frequently,Research & Development,20,4,Female,Research Scientist,Single,4869,4,0
43,Travel_Rarely,Research & Development,7,3,Female,Healthcare Representative,Married,9985,1,0
45,Travel_Rarely,Research & Development,8,4,Male,Research Scientist,Married,3697,10,0
40,Travel_Rarely,Sales,1,2,Male,Sales Executive,Married,7457,4,0
29,Travel_Rarely,Research & Development,8,4,Male,Laboratory Technician,Married,2119,7,1
